last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Wendle, Joey,621563,274,3.1,29.2,107.6,87.2,89.8,85.8,410,136,386,97,35.4,5,1.8,1.5
Taylor, Michael A.,572191,272,12.8,34.6,109.4,86.8,90.7,83.6,432,170,400,90,33.1,19,7,4.7
Castro, Willi,650489,272,13.3,34.6,111.7,84.6,87.7,85.2,408,153,379,83,30.5,8,2.9,2.2
Cabrera, Miguel,408234,271,4.7,34.7,111,90,92,88.7,426,138,396,106,39.1,13,4.8,3.3
Suzuki, Seiya,673548,270,11.3,35.6,111.3,89.5,92.5,87.4,436,170,398,109,40.7,29,10.7,7
Walls, Taylor,670764,266,16.7,32.7,105.7,86,90.8,80.8,406,171,382,74,27.8,14,5.3,3.3
d'Arnaud, Travis,518595,265,11.3,32.8,112.3,88.2,91.9,85.3,433,159,400,102,38.5,21,7.9,5.7
Crawford, Brandon,543063,264,13,30.3,109,87.8,92.1,85.3,418,155,396,87,33,19,7.2,4.9
Daza, Yonathan,602074,264,5.5,34.1,106,85.7,87.2,85.1,422,136,408,72,27.3,6,2.3,1.8
Wisdom, Patrick,621550,263,20.9,30.4,112.6,90.6,97.7,83.6,461,182,406,120,46,38,14.4,7.9
Nola, Austin,543592,260,11.6,35.4,109.1,89.4,91.2,89.3,395,164,393,100,38.5,6,2.3,1.7
Chavis, Michael,656308,260,12.4,33.8,111.3,86.2,92.9,82.1,424,161,398,104,40,21,8.1,5.3
Rutschman, Adley,668939,259,16,35.1,110.9,88,93.4,84.2,439,177,402,99,38.2,22,8.5,5.8
Sheets, Gavin,657757,257,14.8,32.7,109.7,88.8,92.2,87.9,422,166,391,94,36.6,17,6.6,4.8
Grossman, Robbie,543257,256,20.8,39.1,105.8,86.8,90.8,80.8,418,190,386,80,31.3,10,3.9,2.3
Harris II, Michael,671739,254,3.7,34.3,112.8,89.6,96.1,86.2,439,139,405,117,46.1,29,11.4,8
Gamel, Ben,592325,254,12,37.4,109.2,88.6,91.4,86.4,418,168,388,96,37.8,16,6.3,4.2
Gordon, Nick,624503,252,13,36.9,110.7,90.8,95.2,86,422,175,404,115,45.6,26,10.3,7.2
Hicks, Aaron,543305,252,15.4,23.8,109.6,87.8,91.8,85.9,412,150,393,84,33.3,12,4.8,3
Bradley Jr., Jackie,598265,252,7.1,30.2,107.6,87.9,94.1,83.6,408,143,390,96,38.1,13,5.2,3.8
Vogelbach, Daniel,596129,252,17,37.3,110.9,89.7,93.5,86.3,433,185,399,102,40.5,25,9.9,6
Ortega, Rafael,542364,250,17.1,37.6,108.4,87.2,90,85.3,428,178,384,84,33.7,12,4.8,3.2
Trout, Mike,545361,249,25.2,37.8,114.4,91.7,94.8,87.9,472,221,406,127,51,50,20.1,11.9
Pederson, Joc,592626,249,14.8,33.7,112.8,93.4,96.4,91.3,441,190,408,134,54,38,15.3,10.1
Sánchez, Gary,596142,249,13.8,29.3,115.1,89.7,95.1,86.9,473,165,412,117,47,35,14.1,8.8
Reyes, Franmil,614177,248,10,27.8,112.4,91.9,96.5,89,419,158,390,113,45.6,30,12.1,7.3
India, Jonathan,663697,244,15.3,35.2,111.3,85.6,88.9,83.3,447,161,399,73,29.9,11,4.5,3.1
Trevino, Jose,624431,243,12.9,28.4,109.4,87.7,91.5,85.2,423,158,393,86,35.4,12,4.9,3.9
Calhoun, Kole,594777,243,15.9,41.6,109.9,90.9,95.5,87.4,425,180,392,118,48.6,25,10.3,6.3
Hernández, Enrique,571771,240,19.1,34.6,112.3,88.1,92.2,86.1,395,168,373,83,34.6,15,6.3,4.6
Segura, Jean,516416,240,4.8,26.7,111,88.7,92.5,88.2,411,125,379,99,41.3,10,4.2,3.2
García, Avisaíl,541645,239,2.3,27.2,116.8,88.7,94.4,85.1,443,135,408,107,44.8,15,6.3,4.2
Garcia, Leury,544725,239,6.1,30.1,109.2,87.1,90.5,85.1,408,137,383,85,35.7,10,4.2,3.2
Story, Trevor,596115,239,17.8,36,113.4,88.9,93,86.1,428,179,391,97,40.6,27,11.3,6.8
Díaz, Elias,553869,239,10.7,29.7,111.8,89,93.2,88.4,445,156,411,97,40.6,15,6.3,4.5
Stallings, Jacob,607732,238,11.7,31.9,109.5,86.5,89.7,85.4,398,154,381,79,33.2,8,3.4,2.3
Taylor, Tyrone,621438,237,17.5,35.9,109.3,88.3,93.4,83.5,435,182,404,89,37.6,24,10.1,6.7
Laureano, Ramón,657656,237,14.9,28.3,110.2,88.5,94,85.6,429,163,399,91,38.4,27,11.4,7.3
Stanton, Giancarlo,519317,236,9.7,26.3,119.8,94.8,98.3,94.4,445,159,398,124,52.5,44,18.6,11.4
Robles, Victor,645302,236,15.6,28.4,109.7,83.8,87.8,81.4,413,142,391,52,22,7,3,2
O'Neill, Tyler,641933,236,13.9,36.9,110.3,89.9,96.1,83,423,173,405,103,43.6,27,11.4,7.2
Harper, Bryce,547180,233,12.4,39.1,114.3,92.5,96.3,87.8,460,180,404,118,50.6,32,13.7,9.4
Hernandez, Yadiel,628450,233,3.5,35.6,108,88.8,95.3,82.6,413,153,390,98,42.1,20,8.6,6.1
Toro, Abraham,647351,232,16.6,30.6,108.2,86.9,90.5,84,429,164,394,68,29.3,16,6.9,5.2
González, Luis,670768,231,11.6,27.3,109.7,87.2,91.4,84,415,154,397,74,32,6,2.6,1.8
García, Luis,671277,230,5.3,35.2,113.4,87.3,94.3,81.9,442,147,414,86,37.4,17,7.4,5.7
Marsh, Brandon,669016,230,9.9,36.1,109,88.7,92.8,84.2,449,163,406,85,37,18,7.8,4.5
Rivera, Emmanuel,656896,228,9.5,32.5,110.1,90.5,94.1,87.7,441,161,414,90,39.5,23,10.1,6.9
Raleigh, Cal,663728,227,22.8,35.2,114,91,95,86.1,435,205,391,98,43.2,34,15,9.2
Moncada, Yoán,660162,227,14.1,32.6,111.5,88.7,92.5,84.9,437,170,406,84,37,20,8.8,5.6
Paredes, Isaac,670623,225,15.7,26.7,110.4,87.4,92.8,84.7,411,163,388,86,38.2,15,6.7,4.7
Votto, Joey,458015,225,14.2,32.9,111.9,89.7,95.8,84,418,167,387,92,41.3,25,11.1,6.6
Buxton, Byron,621439,225,21.4,34.2,113.5,92.9,97.4,88.3,469,194,410,113,50.2,37,16.4,9.7
Pinder, Chad,640461,222,10.5,35.1,109.8,87.4,92.3,84.3,415,153,397,90,40.5,15,6.8,4.4
Ruf, Darin,573131,222,14.7,34.7,112.1,89.2,94.1,85.5,429,172,397,91,41,20,9,5.4
McCormick, Chas,676801,220,13.6,33.2,109.9,89,93.9,82.8,443,175,389,88,40,25,11.4,7.2
Morel, Christopher,666624,218,8.4,29.4,112.9,89,95.4,84.9,440,151,408,84,39.3,27,12.4,7.3
Torkelson, Spencer,679529,218,13.8,34.4,111.5,90.5,93.5,89.2,434,165,398,90,41.3,18,8.3,5.3
Grandal, Yasmani,518735,216,12,29.2,110.2,89.8,91.1,90.6,408,153,382,83,38.4,10,4.6,3.1
Berti, Jon,542932,215,4.3,31.6,109.1,88.1,92.1,85.2,400,141,387,83,38.6,14,6.5,4.3
Vierling, Matt,663837,214,11.5,33.2,112.1,91.1,92.7,92.4,432,156,407,103,48.1,11,5.1,3.7
Taylor, Chris,621035,213,19.9,39.9,108.5,87.9,92.4,81.8,441,191,402,85,39.9,23,10.8,5.8
Sánchez, Jesús,660821,212,11.3,24.5,114.7,89.5,95.2,86.7,496,153,415,85,40.1,20,9.4,6.2
Velazquez, Andrew,623205,212,8.2,31.1,109.1,88,93.3,83.1,402,146,380,72,34,14,6.6,4
Choi, Ji-Man,596847,211,10.1,35.1,110.3,92,94,91.3,431,161,394,95,45,20,9.5,5.3
Kelly, Carson,608348,210,14.5,31.9,108.4,87.4,90.8,85.5,426,166,412,72,34.3,12,5.7,4
Maldonado, Martín,455117,209,15,32.1,109.2,89,92.2,86,442,173,401,87,41.6,17,8.1,5
Greene, Riley,682985,206,2.7,33,112.1,89.8,95,86,448,137,412,95,46.1,19,9.2,5.7
Stassi, Max,545358,204,9.1,26.5,107.5,89,94.3,86.7,424,147,398,82,40.2,20,9.8,5.8
Haase, Eric,606992,197,15.5,33.5,109.9,88.4,94.2,83.9,444,169,392,88,44.7,17,8.6,5.6
Anderson, Brian,605119,196,7.4,31.6,112,90,96.7,84.3,445,153,405,90,45.9,21,10.7,6.5
